device,attack,intensity,average rtt,loss
SmartTV,SYN_Flooding,4476.43,15.327769130998703,0.014267185473411154
SmartTV,ACK_Flooding,6479.20,19.318819444444443,0.022916666666666665
SmartTV,UDP_Flooding,10055.74,37.88483333333333,0.20877192982456141
Smartphone_1,SYN_Flooding,7528.39,32.86385416666667,0.19270833333333334
Smartphone_1,ACK_Flooding,7069.77,36.69065252854812,0.2740619902120718
Smartphone_1,UDP_Flooding,13907.22,41.668789868667915,0.2926829268292683
Smart_Clock_1,SYN_Flooding,2131.49,68.15776079734219,0.6717607973421927
Smart_Clock_1,ACK_Flooding,4045.15,76.77400402414487,0.761234071093226
Smart_Clock_1,UDP_Flooding,3658.73,66.49441370223978,0.6521739130434783
Google-Nest-Mini_1,SYN_Flooding,6733.62,59.81664864864866,0.5684684684684684
Google-Nest-Mini_1,ACK_Flooding,8486.03,71.97720364741642,0.7092198581560284
Google-Nest-Mini_1,UDP_Flooding,11808.22,79.91648148148148,0.7722222222222223
